feature,mean_absolute_raw_score_contribution
amount0_amount_mean__mean,0.01538419673688054
broad0_last_fee__mean,0.014580314425948223
amount0_hour_std__mean,0.014369260249570276
amount1_overdue_ratio__max,0.014188870627146393
amount1_next_median__mean,0.014174946785792245
amount0_description_top_fraction__max,0.013920018647539213
amount0_next_median__mean,0.013910990695519205
amount0_next_median__min,0.01382843528726221
amount0_refund_count__min,0.013537583230822908
broad0_overdue_ratio__min,0.013092075813145965
broad0_amount_median__min,0.013063569477383144
amount0_gap_median__mean,0.012906245449737605
amount0_gap_median__min,0.01269430147910292
broad0_weekend_fraction__max,0.01268513331619811
amount0_gap_std__min,0.012349463855324334
amount0_weekend_fraction__mean,0.012278257232429767
broad0_amount_median__mean,0.012014974897715837
amount0_gap_cv__min,0.011680918587379819
amount0_gap_cv__mean,0.011572462158755617
amount0_count__mean,0.011565959646288712
amount1_description_top_fraction__max,0.011474484813898716
amount0_generic_fraction__min,0.0113523273600623
amount0_count_90__min,0.011310024756585348
amount0_count_60__min,0.011230559920303269
amount0_refund_count90__mean,0.011206389094078022
amount0_amount_median__mean,0.011185048322843371
broad0_gap_recent__min,0.01117606259657628
amount1_amount_mad__max,0.011140254713475132
amount0_amount_mean__min,0.011026333640844412
amount0_description_top_fraction__min,0.01100989907327477
broad0_count_60__max,0.01099501370935883
amount0_gap_recent__mean,0.01083666921487399
amount0_gap_mean__mean,0.010733139771897137
amount1_linear_next__min,0.010726320450456583
amount0_own_template_count_per_event__mean,0.010692387322081855
amount1_amount_mean__mean,0.010617886528370382
amount1_count_180__min,0.010533647571544236
client_mcc_6300__min,0.010532612518128627
amount1_own_template_diversity__mean,0.01053249885118383
amount1_linear_next__mean,0.01050419625105444
broad0_fee_mean__max,0.01046151989320876
amount1_normalized_price__mean,0.010378462963589501
amount1_last_age__max,0.010114148308421578
broad0_amount_mean__max,0.010035007213712643
amount0_last_age__mean,0.009882656701960575
broad0_gap_last__min,0.009860397746170809
amount0_amount_mad__mean,0.00979008543901216
broad0_refund_count90__mean,0.00975129538792396
broad0_last_age__max,0.009477726325586532
broad0_refund_last_age__max,0.009431949650757178
broad0_next_recent__mean,0.009351225118246013
broad0_fee_fraction__max,0.009292698419495489
amount0_linear_period__mean,0.009192241868708314
amount0_next_median__max,0.009118776125428375
client_mcc_4814__min,0.00896835866932268
broad0_hour_std__mean,0.008730339331419076
broad0_linear_residual__mean,0.008689753599769593
amount0_own_mcc_per_event__max,0.008686177916818217
amount1_span__max,0.008679700834787795
amount0_last_age__min,0.008505756389130455
amount0_weekend_fraction__min,0.008299054547462572
amount0_amount_median__min,0.008197859505965629
broad0_description_top_fraction__max,0.008179975040251702
broad0_hour_std__min,0.008151130229917258
broad0_overdue_ratio__mean,0.008116524412680437
broad0_amount_mean__min,0.00805509599336674
broad0_price_support__min,0.00802225499509407
amount1_own_semantic__mean,0.007764825135842449
amount1_amount_mad__mean,0.007618901142481672
broad0_description_top_fraction__mean,0.0074571668355872004
broad0_overdue_ratio__max,0.007403900048364253
amount1_span__mean,0.00736186955617537
broad0_amount_mad__max,0.007232654787850036
broad0_refund_count90__max,0.00721738007878292
broad0_amount_mad__mean,0.007212409716306756
broad0_normalized_price__mean,0.0071967673168489375
amount0_count_60__mean,0.007128238981869477
amount0_gap_mean__min,0.007065357726375282
amount0_active_rank__max,0.0070576327852480995
broad0_gap_cv__max,0.007031482482551898
broad0_amount_mad__min,0.007025528767168966
broad0_linear_next__mean,0.006918203160295659
amount0_count_60__max,0.006819736185623824
broad0_count_180__max,0.006809184660605694
amount0_own_mcc_per_event__mean,0.006793704433296815
