view,intervention,macro_f1,f1_loss,changed_predictions,max_none_score_change
original,permute_temporal_0,0.46663813861904346,0.18536485458119167,779,0.8906646710848162
original,permute_temporal_1,0.47680209835530174,0.1752008948449334,766,0.8507169447950903
original,permute_temporal_2,0.46479808975465053,0.1872049034455846,770,0.9076340570356589
original,permute_refund_0,0.609775350079538,0.042227643120697156,247,0.672928896872405
original,permute_refund_1,0.6077544013542995,0.04424859184593566,251,0.7118897099537104
original,permute_refund_2,0.6133927524427876,0.03861024075744757,256,0.7797195357182362
original,permute_identity_0,0.3733718285635892,0.27863116463664594,962,0.9149398792798822
original,permute_identity_1,0.35432089914273185,0.2976820940575033,967,0.9530742444257164
original,permute_identity_2,0.3819927755066738,0.2700102176935613,933,0.9120700419271441
original,permute_amount_0,0.6327549754807749,0.019248017719460275,210,0.7764455202503078
original,permute_amount_1,0.6362613528833789,0.01574164031685621,227,0.7074545074973455
original,permute_amount_2,0.6251275531011342,0.026875440099100922,241,0.7074375730210887
original,permute_context_0,0.6455274893014824,0.0064755038987527325,116,0.6181779095495906
original,permute_context_1,0.6421611243054197,0.00984186889481542,112,0.515894083832231
original,permute_context_2,0.6411731991853558,0.01082979401487938,101,0.5771345896034046
original,rotate_family_time,0.5041870536530477,0.1478159395471874,587,0.0
valid_like,permute_temporal_0,0.4340320422031604,0.1968139694273523,828,0.8405889224948375
valid_like,permute_temporal_1,0.4537604794085204,0.1770855322219923,786,0.8840367356578934
valid_like,permute_temporal_2,0.4376747714941158,0.19317124013639686,819,0.8812049447764378
valid_like,permute_refund_0,0.5771382240538876,0.05370778757662509,290,0.7826029148104
valid_like,permute_refund_1,0.5786786417219321,0.05216736990858062,292,0.7840058225655743
valid_like,permute_refund_2,0.5821485221768441,0.048697489453668585,288,0.7812126556758405
valid_like,permute_identity_0,0.3762759451577081,0.25457006647280456,948,0.883481176432861
valid_like,permute_identity_1,0.3553413569841316,0.2755046546463811,962,0.9387273986344976
valid_like,permute_identity_2,0.37895602078294316,0.2518899908475695,920,0.8842018577949015
valid_like,permute_amount_0,0.6034351057231793,0.027410905907333416,250,0.767285930526571
valid_like,permute_amount_1,0.6079999392852995,0.022846072345213186,224,0.8220284208061054
valid_like,permute_amount_2,0.6094105097992013,0.021435501831311377,246,0.7674810639546382
valid_like,permute_context_0,0.6279625608001229,0.0028834508303897666,134,0.6181779095495906
valid_like,permute_context_1,0.6243350349631378,0.006510976667374879,134,0.5084907287740839
valid_like,permute_context_2,0.6259510415358696,0.004894970094643125,132,0.5831144533188144
valid_like,rotate_family_time,0.4633649198123007,0.16748109181821197,638,0.0
test_like,permute_temporal_0,0.41063610134451833,0.20381628380859307,840,0.8462971212853971
test_like,permute_temporal_1,0.4134310737354526,0.20102131141765878,844,0.8082730371654303
test_like,permute_temporal_2,0.3990295181883791,0.21542286696473228,828,0.8671649778938038
test_like,permute_refund_0,0.562758380392614,0.05169400476049735,298,0.7761202989049871
test_like,permute_refund_1,0.5556862345186524,0.058766150634459,312,0.7716827344717119
test_like,permute_refund_2,0.5545159771415893,0.05993640801152211,315,0.7680020405590575
test_like,permute_identity_0,0.3732491479629997,0.24120323719011172,909,0.8852159564961248
test_like,permute_identity_1,0.3677706514368759,0.24668173371623553,877,0.8912938539421154
test_like,permute_identity_2,0.38098906146489064,0.23346332368822076,888,0.9305372386543955
test_like,permute_amount_0,0.5803551338998505,0.03409725125326091,273,0.7258702785278331
test_like,permute_amount_1,0.5897759249370874,0.024676460216023988,263,0.6749994832040858
test_like,permute_amount_2,0.582205018435966,0.032247366717145454,279,0.7212948496875724
test_like,permute_context_0,0.609280469628846,0.005171915524265436,123,0.6181779095495906
test_like,permute_context_1,0.6046778827723651,0.009774502380746286,126,0.558269469939421
test_like,permute_context_2,0.5980875088361081,0.01636487631700334,140,0.5960355676884128
test_like,rotate_family_time,0.41912858610190445,0.19532379905120695,679,0.0
